Name,UseCase,"Hardness, target","Tensile Strenght, min","100% Modulus, target","300% Modulus, target","Elongation at break, min","Resilience Bashore, min","Tear Die C, min","Tear Die B, min","Din abrasion (10 N), m?","Cut and chip, 1080 rpm, 0,5 Hz, 10 min","Density, target","Viscosity, target","Dispersion, min",Compresion Set,Abrasion Index,Natural Rubber RSS,Natural Rubber TSR 10 60 CV,Polybutadiene (NR) - Cisamer 1220,Polybutadiene High Cys,SBR,Peptizer,N660,N550,N339,N330,N326,N220,N234,N115,N121,Silica,MR material,Non Reinforcing Filler,Silane,Cabot Endure D63,MWCNT from MRO Gen II,Pasticiser,Aromatic Oil,Naftenic Oil,Paraffinic Process Oil,Pine Tar,C5 Aliphatic Hydrocarbon,Process aid,ZnO,Stearic Acid,6 ppd,TMQ,Micro cristaline wax,TBBS,MBS,CBS,DCBS,MBTS,MBT,DPG,TBzTD,TMTD,Sulfur,Perkalink 900,PVI,Sum Curing System,A/S Ratio,Rubbers Sum
RW N220 11-2009 - 3,Truck Tread,65,28,2.2,,650,34,,,,,,,,,,,100,,,,,,,,,,50,,,,,,,,,,,5,,,,,,3,2,1,1,,,,1,,,,,,,1.5,,0.2,2.5,0.7,100
RW N220 11-2009 - 30,,67,27.5,2.3,12,563,40,,,123,,,,,,,,100,,,,,,,,,,,55,,,,,,,,,,5,,,,,,3.5,1,2,1,1,,1.5,,,,,,,,1.5,,,3,1,100
"US 9,062,189 - T7 - 1",Tread ,59,15,,8.4,464,,57.8,,,,,,,,,,30,,,70,,,,,,,,75,,,,,,,,,,40,,,,,,3,2,3,1,1.5,,,1.75,,,,0.4,,,1.5,,0.1,3.7,1.4,100
"US 9,062,189 - T7 - 2",Tread,59,15.1,,8,494,,65.4,,,,,,,,,,30,,,70,,,,,,,,75,,,,,,,,,,,40,,,,,3,2,3,1,1.5,,,1.75,,,,0.4,,,1.5,,0.1,3.7,1.4,100
"US 9,062,189 - T11 - 1",RLT Tread,,,,9.1,,,163,,,,,,,,,,100,,,,0.1,,,,,,,50,,,,,,,,,,10,,,,,,3,2,2,1,1.5,0.75,,,,,,0.4,,,1.6,,0.1,2.8,0.7,100
"US 9,062,189 - T11 - 2",RLT Tread,,,,9,,,150,,,,,,,,,,100,,,,0.1,,,,,,,50,,,,,,,,,,,10,,,,,3,2,2,1,1.5,0.75,,,,,,0.4,,,1.6,,0.1,2.8,0.7,100
"US 9,062,189 - T13 - 2",RMT Truck Tread,,26.8,,9.9,597,,,,144,,,,,,,,100,,,,,,,,,,50,,,,,,,,,,,10,,,,,,5,2,2.5,1,1.5,1,,,,,,0.35,,,1.75,,0.1,3.1,0.8,100
"US 9,062,189 - T13 - 2",RMT Truck Tread,,27.8,,9.6,618,,,,,,,,,,,,100,,,,,,,,,,50,,,,,,,,,,,,10,,,,,5,2,2.5,1,1.5,1,,,,,,0.35,,,1.75,,0.1,3.1,0.8,100
EP0 738 613 A1 - X,Tread,64,20.6,,9.8,560,,,,,,,,,,,,50,,25,25,,,,,,,55,,,,,,,,,,,5,,,,,4,2.5,2,1,1,1,,1.1,,,,,,,,1,,,2.1,1.1,100
EP0 738 613 A1 - A,Tread,58,18.2,,7.2,600,,,,,,,,,,,,50,,25,25,,,,,,,30,,,,25,,,4,,,,5,,,,,4,2.5,2,1,1,1,,1.6,,,,,,,,1,,,2.6,1.6,100
