Name,UseCase,"Hardness, target","Tensile Strenght, min","100% Modulus, target","300% Modulus, target","Elongation at break, min","Resilience Bashore, min","Tear Die C, min","Tear Die B, min","Din abrasion (10 N), m?","Cut and chip, 1080 rpm, 0,5 Hz, 10 min","Density, target","Viscosity, target","Dispersion, min",Compresion Set,Abrasion Index,Natural Rubber RSS,Natural Rubber TSR 10 60 CV,Polybutadiene (NR) - Cisamer 1220,Polybutadiene High Cys,SBR,Peptizer,N660,N550,N339,N330,N326,N220,N234,N115,N121,Silica,MR material,Non Reinforcing Filler,Silane,Cabot Endure D63,MWCNT from MRO Gen II,Pasticiser,Aromatic Oil,Naftenic Oil,Paraffinic Process Oil,Pine Tar,C5 Aliphatic Hydrocarbon,Process aid,ZnO,Stearic Acid,6 ppd,TMQ,Micro cristaline wax,TBBS,MBS,CBS,DCBS,MBTS,MBT,DPG,TBzTD,TMTD,Sulfur,Perkalink 900,PVI,Sum Curing System,A/S Ratio,Rubbers Sum
NR/SBR-1,NR/SBR ratio effect,,21.8,,,797,,,,,,,,,,,,100,,,,,,,,20,,,,,,,,,,,,,,,,,,,5,1.5,1,,,,,1.25,,,,,,,2,,,3.3,0.6,100
NR/SBR-2,NR/SBR ratio effect,,18.82,,,695,,,,,,,,,,,,75,,,25,,,,,20,,,,,,,,,,,,,,,,,,,5,1.5,1,,,,,1.25,,,,,,,2,,,3.3,0.6,100
NR/SBR-3,NR/SBR ratio effect,,16.9,,,625,,,,,,,,,,,,50,,,50,,,,,20,,,,,,,,,,,,,,,,,,,5,1.5,1,,,,,1.25,,,,,,,2,,,3.3,0.6,100
NR/SBR-4,NR/SBR ratio effect,,14.85,,,550,,,,,,,,,,,,25,,,75,,,,,20,,,,,,,,,,,,,,,,,,,5,1.5,1,,,,,1.25,,,,,,,2,,,3.3,0.6,100
NR/SBR-5,NR/SBR ratio effect,,12.75,,,495,,,,,,,,,,,,,,,100,,,,,20,,,,,,,,,,,,,,,,,,,5,1.5,1,,,,,1.25,,,,,,,2,,,3.3,0.6,100
NR-S/TBBS-1,Effect of S and TBBS,32,24,,,515,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,,1,,1,,,,,,,,,0.5,,,1.5,2,100
NR-S/TBBS-2,Effect of S and TBBS,38,22.5,,,640,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,,1,,1,,,,,,,,,1,,,2,1,100
NR-S/TBBS-3,Effect of S and TBBS,43,18,,,700,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,,1,,1,,,,,,,,,1.5,,,2.5,0.7,100
NR-S/TBBS-4,Effect of S and TBBS,47,16.5,,,715,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,,1,,1,,,,,,,,,2,,,3,0.5,100
NR-S/TBBS-5,Effect of S and TBBS,52,12,,,680,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,,1,,1,,,,,,,,,2.5,,,3.5,0.4,100
NR-S/TBBS-6,Effect of S and TBBS,43.5,17,,,680,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,,1,,1.4,,,,,,,,,1.5,,,2.9,0.9,100
NR-S/TBBS-7,Effect of S and TBBS,45,21.2,,,675,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,,1,,1.8,,,,,,,,,1.5,,,3.3,1.2,100
NR-S/TBBS-8,Effect of S and TBBS,47,24,,,650,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,,1,,2.2,,,,,,,,,1.5,,,3.7,1.5,100
NR-S/TBBS-9,Effect of S and TBBS,50,25.2,,,610,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,,1,,2.8,,,,,,,,,1.5,,,4.3,1.9,100
NR-S/TBBS-10,Effect of S and TBBS,52,23.8,,,575,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,,1,,3.7,,,,,,,,,1.5,,,5.2,2.5,100
NR-S/TBBS-11,Effect of S and TBBS,54.5,21,,,540,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,,1,,5.5,,,,,,,,,1.5,,,7,3.7,100
NR/SBR/N220-1,Effect of N220 in NR/SBR,64,4,1.1,,225,,,,,,,,,,,,0,,,100,,,,,,,20,,,,,,5,,,,,5,,,,,,5,2,1.5,1.5,,,,2,,,,,,,5,,,7,0.4,100
NR/SBR/N220-2,Effect of N220 in NR/SBR,66,5,1.2,,325,,,,,,,,,,,,25,,,75,,,,,,,20,,,,,,5,,,,,5,,,,,,5,2,1.5,1.5,,,,2,,,,,,,5,,,7,0.4,100
NR/SBR/N220-3,Effect of N220 in NR/SBR,67,6,1.3,,375,,,,,,,,,,,,50,,,50,,,,,,,20,,,,,,5,,,,,5,,,,,,5,2,1.5,1.5,,,,2,,,,,,,5,,,7,0.4,100
NR/SBR/N220-4,Effect of N220 in NR/SBR,68,8,1.4,,450,,,,,,,,,,,,75,,,25,,,,,,,20,,,,,,5,,,,,5,,,,,,5,2,1.5,1.5,,,,2,,,,,,,5,,,7,0.4,100
NR/SBR/N220-5,Effect of N220 in NR/SBR,71,9,1.5,,600,,,,,,,,,,,,100,,,0,,,,,,,20,,,,,,5,,,,,5,,,,,,5,2,1.5,1.5,,,,2,,,,,,,5,,,7,0.4,100
NR/SBR/N220-6,Effect of N220 in NR/SBR,69,7,1.5,,250,,,,,,,,,,,,0,,,100,,,,,,,40,,,,,,5,,,,,5,,,,,,5,2,1.5,1.5,,,,2,,,,,,,5,,,7,0.4,100
NR/SBR/N220-7,Effect of N220 in NR/SBR,70,8,1.65,,350,,,,,,,,,,,,25,,,75,,,,,,,40,,,,,,5,,,,,5,,,,,,5,2,1.5,1.5,,,,2,,,,,,,5,,,7,0.4,100
NR/SBR/N220-8,Effect of N220 in NR/SBR,71,9,1.8,,500,,,,,,,,,,,,50,,,50,,,,,,,40,,,,,,5,,,,,5,,,,,,5,2,1.5,1.5,,,,2,,,,,,,5,,,7,0.4,100
NR/SBR/N220-9,Effect of N220 in NR/SBR,73,10,1.95,,650,,,,,,,,,,,,75,,,25,,,,,,,40,,,,,,5,,,,,5,,,,,,5,2,1.5,1.5,,,,2,,,,,,,5,,,7,0.4,100
NR/SBR/N220-10,Effect of N220 in NR/SBR,77,12,2.5,,800,,,,,,,,,,,,100,,,0,,,,,,,40,,,,,,5,,,,,5,,,,,,5,2,1.5,1.5,,,,2,,,,,,,5,,,7,0.4,100
NR/SBR/N220-11,Effect of N220 in NR/SBR,74,13,3.75,,225,,,,,,,,,,,,0,,,100,,,,,,,60,,,,,,5,,,,,5,,,,,,5,2,1.5,1.5,,,,2,,,,,,,5,,,7,0.4,100
NR/SBR/N220-12,Effect of N220 in NR/SBR,75,15,3.9,,325,,,,,,,,,,,,25,,,75,,,,,,,60,,,,,,5,,,,,5,,,,,,5,2,1.5,1.5,,,,2,,,,,,,5,,,7,0.4,100
NR/SBR/N220-13,Effect of N220 in NR/SBR,77,17,4.1,,425,,,,,,,,,,,,50,,,50,,,,,,,60,,,,,,5,,,,,5,,,,,,5,2,1.5,1.5,,,,2,,,,,,,5,,,7,0.4,100
NR/SBR/N220-14,Effect of N220 in NR/SBR,79,18,4.3,,600,,,,,,,,,,,,75,,,25,,,,,,,60,,,,,,5,,,,,5,,,,,,5,2,1.5,1.5,,,,2,,,,,,,5,,,7,0.4,100
NR/SBR/N220-15,Effect of N220 in NR/SBR,83,22,4.5,,750,,,,,,,,,,,,100,,,0,,,,,,,60,,,,,,5,,,,,5,,,,,,5,2,1.5,1.5,,,,2,,,,,,,5,,,7,0.4,100
NR/SBR/N220-16,Effect of N220 in NR/SBR,79,10,2.5,,200,,,,,,,,,,,,0,,,100,,,,,,,80,,,,,,5,,,,,5,,,,,,5,2,1.5,1.5,,,,2,,,,,,,5,,,7,0.4,100
NR/SBR/N220-17,Effect of N220 in NR/SBR,81,13,2.8,,300,,,,,,,,,,,,25,,,75,,,,,,,80,,,,,,5,,,,,5,,,,,,5,2,1.5,1.5,,,,2,,,,,,,5,,,7,0.4,100
NR/SBR/N220-18,Effect of N220 in NR/SBR,83,16,3,,400,,,,,,,,,,,,50,,,50,,,,,,,80,,,,,,5,,,,,5,,,,,,5,2,1.5,1.5,,,,2,,,,,,,5,,,7,0.4,100
NR/SBR/N220-19,Effect of N220 in NR/SBR,85,17,3.25,,550,,,,,,,,,,,,75,,,25,,,,,,,80,,,,,,5,,,,,5,,,,,,5,2,1.5,1.5,,,,2,,,,,,,5,,,7,0.4,100
NR/SBR/N220-20,Effect of N220 in NR/SBR,88,24,5.5,,650,,,,,,,,,,,,100,,,0,,,,,,,80,,,,,,5,,,,,5,,,,,,5,2,1.5,1.5,,,,2,,,,,,,5,,,7,0.4,100
NR/BR 40/60; 60 N234,MR effect of NR/BR ratio,,,,,,,,,69,,,,,,216,,40,,60,,,,,,,,,60,,,,,,,,,,,12,,,,,4,3,2.5,,2,,,,,,,,1,,1.5,,,2.5,0.7,100
NR/BR 60/40; 60 N234,MR effect of NR/BR ratio,,,,,,,,,78,,,,,,190,,60,,40,,,,,,,,,60,,,,,,,,,,,12,,,,,4,3,2.5,,2,,,,,,,,1,,1.5,,,2.5,0.7,100
NR/BR 70/30; 60 N330,MR effect of NR/BR ratio,,,,,,,,,,,,,,,163,,70,,30,,,,,,60,,,,,,,,,,,,,,12,,,,,4,3,2,,2,,,,,,,,1,,1.5,,,2.5,0.7,100
NR/BR 30/70; 60 N330,MR effect of NR/BR ratio,,,,,,,,,,,,,,,265,,30,,70,,,,,,60,,,,,,,,,,,,,,12,,,,,4,3,2,,2,,,,,,,,1,,1.5,,,2.5,0.7,100
NR/BR 70/30; 60 N234,ACE Testing A23-0970-001A,,,,,,,,,,,,,,,160,,70,,30,,,,,,,,,60,,,,,,,,,,12,,,,,,4,3,2,,2,1,,,,,,,,,1.5,,,2.5,0.7,100
NR/BR 30/70; 60 N234,ACE Testing A23-0970-001A,,,,,,,,,,,,,,,259,,30,,70,,,,,,,,,60,,,,,,,,,,12,,,,,,4,3,2,,2,1,,,,,,,,,1.5,,,2.5,0.7,100
NR/BR 70/30; 60 N330,ACE Testing A23-0970-001A,,,,,,,,,,,,,,,146,,70,,30,,,,,,60,,,,,,,,,,,,,12,,,,,,4,3,2,,2,1,,,,,,,,,1.5,,,2.5,0.7,100
NR/BR 30/70; 60 N330,ACE Testing A23-0970-001A,,,,,,,,,,,,,,,254,,30,,70,,,,,,60,,,,,,,,,,,,,12,,,,,,4,3,2,,2,1,,,,,,,,,1.5,,,2.5,0.7,100
NR/BR 70/30; 50 N234,ACE Testing A23-0970-001A,,,,,,,,,,,,,,,165,,70,,30,,,,,,,,,50,,,,,,,,,,10,,,,,,4,3,2,,2,1,,,,,,,,,1.5,,,2.5,0.7,100
NR/BR 70/30; 50 N234,ACE Testing A23-0970-001A,,,,,,,,,,,,,,,318,,30,,70,,,,,,,,,50,,,,,,,,,,10,,,,,,4,3,2,,2,1,,,,,,,,,1.5,,,2.5,0.7,100
NR/BR 70/30; 90 N234,ACE Testing A23-0970-001A,,,,,,,,,,,,,,,128,,70,,30,,,,,,,,,90,,,,,,,,,,18,,,,,,4,3,2,,2,1,,,,,,,,,1.5,,,2.5,0.7,100
NR/BR 70/30; 90 N330,ACE Testing A23-0970-001A,,,,,,,,,,,,,,,149,,30,,70,,,,,,90,,,,,,,,,,,,,18,,,,,,4,3,2,,2,1,,,,,,,,,1.5,,,2.5,0.7,100
NR/BR 50/50; 50 N234 - 10 Si,ARDL Testing PN 170354,,,,,,,,,,,,,,,283,,50,,50,,,,,,,,,60,,,,,,,,,,12,,,,,,5,2,2,,2,1.5,,,,,,,,,1.5,,,3,1,100
NR/BR 50/50; 60 N234,ACE Testing - A23-0970-003,,,,,,,,,,,,,,,245,,50,,50,,,,,,,,,50,,,10,,,0.8,,,,10,,,,,,4,3,2,,2,1,,,,,,,,,1.5,,,2.5,0.7,100
